min_speed,max_speed,delay,spacing,min_angle,max_angle,num_rows,min_b_scale,max_b_scale,clear_threshold,hard_clear_threshold,burst_spacing,burst_spacing_dur,burst_spacing_ratio,bskip_hang
4.7,6.5,71.42857142857143,89.7025641025641,-1.1,1.1,5,0.1,0.3,2000,4000,64.0615384615385,3,2,0
5.525,7.375,62.01550387596899,89.7025641025641,-1.1,1.1,5,0.1,0.3,2000,4000,64.0615384615385,3,2,0
6.35,8.25,54.794520547945204,89.7025641025641,-1.1,1.1,5,0.1,0.3,2000,4000,64.0615384615385,3,2,0
7.175,9.125,49.079754601226995,89.7025641025641,-1.1,1.1,5,0.1,0.3,2000,4000,64.0615384615385,3,2,0
8.0,10.0,44.44444444444444,89.7025641025641,-1.1,1.1,5,0.1,0.3,2000,4000,64.0615384615385,3,2,0
8.46,10.5,42.19409282700422,89.7025641025641,-1.1,1.1,5,0.1,0.3,2000,4000,64.0615384615385,3,2,0
8.92,11.0,40.16064257028112,89.7025641025641,-1.1,1.1,5,0.1,0.3,2000,4000,64.0615384615385,3,2,0
9.38,11.5,38.314176245210724,89.7025641025641,-1.1,1.1,5,0.1,0.3,2000,4000,64.0615384615385,3,2,0
9.84,12.0,36.63003663003663,89.7025641025641,-1.1,1.1,5,0.1,0.3,2000,4000,64.0615384615385,3,2,0
10.3,12.5,35.08771929824561,89.7025641025641,-1.1,1.1,5,0.1,0.3,2000,4000,64.0615384615385,3,2,0
